SNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
17876,240716,Self-Financed Merit Seat,"Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5 KUSHABHADRA CAMPUS P.O-KIIT BHUBANESWAR",MBBS,Open,General,Allotted
17877,240796,Non-Resident Indian,"Kasturba Medical College, Mangalore,Light house Hill Road, Mangalore, India",MBBS,Open,General,Allotted( NRI Priority : 1 )
17878,240851,Self-Financed Merit Seat,"Sri Devaraj URS Medical College, Kolar,Post box No.7, SRI DEVARAJ URS MEDICAL COLLEGE, TAMAKA, KOLAR",MBBS,Open,OBC,Allotted
17879,240877,Self-Financed Merit Seat,"Amrita School of Medicine, Elamkara, Kochi,Amrita School of Medicine, Amrita Institute of Medical Sciences AIMS Ponekkara P.O Kochi 682041",MBBS,Open,OBC,Allotted
17880,240930,Self-Financed Merit Seat,"SRM Katt. Dental College and Hospt. Chennai,SRM NAGAR POTHERI KATTANKULATHUR KANCHIPURAM",BDS,Open,OBC,Allotted
17881,240938,Self-Financed Merit Seat,"Sri Siddhartha Medical College, Tumkur,SRI SIDDHARTHA MEDICAL COLLEGE B.H. ROAD, AGALAKOTE TUMKUR",MBBS,Open,OBC,Allotted
17882,241034,Self-Financed Merit Seat,"Amrita School of Medicine,Mata Amritanandmayi Marg, Sector-88, Faridabad",MBBS,Open,General,Allotted
17883,241058,Self-Financed Merit Seat,"Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5 KUSHABHADRA CAMPUS P.O-KIIT BHUBANESWAR",MBBS,Open,OBC,Allotted
17884,241070,Self-Financed Merit Seat,"Dr. D Y Patil Medical College, Hospital and Research Centre, Pimpri, Pune,Dr. D. Y. Patil Medical College, Hospital and Research Centre, Sant Tukaram Nagar, Pimpri, Pune.",MBBS,Open,General,Allotted
17885,241079,Self-Financed Merit Seat,"Manipal College of Dental Science, Mangalore,Light House Hill Road, Mangalore India",BDS,Open,General,Allotted
17886,241125,Self-Financed Merit Seat,"Institute of Medical Sciences & SUM Hospital, Campus-II, Phulnakhara Bhubaneswar, Odhisha,At-Nakhara, Po-Phulnakhara, Bhubaneswar, Khordha",MBBS,Open,General,Allotted
